Gene	Antibody Count
ESX1	0
MAGEA9	22
ATXN3L	0
RAB9A	24
METTL8	3
TTC21B	0
NMI	21
TNFAIP6	6
ACVR1C	2
BAZ2B	1
SLC36A1	0
LPGAT1	0
BATF3	0
G0S2	1
KCNJ2	1
RAP2C	1
EXOSC9	5
PLA2G12A	6
B9D2	0
COQ8B	0
PFKFB2	0
C4BPA	6
C4BPB	1
RAB38	13
GPR83	3
AGO2	22
MXD4	0
CKS2	19
DAW1	0
ACSL3	1
CHPF	0
DNPEP	29
INHA	36
MOGAT1	3
OBSL1	0
FAM124B	0
SLC12A4	6
ENKD1	0
MC3R	0
GCNT7	0
CTCFL	1
FAM210B	0
PI3	90
FAM209A	0
SNX21	0
SLPI	21
WFDC3	1
TTPAL	0
PREX1	0
KCNS1	0
SLC12A5	3
ARHGAP40	0
SDC4	1
NCOA3	59
PIGT	1
SEMG2	0
MATN4	2
NCOA5	6
VAPB	4
PARD6B	10
ATP5F1E	0
CHD6	8
PLCG1	31
TOX2	0
SRSF6	0
GDAP1L1	4
GTSF1L	1
ARFGEF2	1
ZNFX1	1
ZNF831	0
EDN3	13
CSE1L	54
TMEM189-UBE2V1	0
RAB22A	2
PTGIS	1
STAU1	17
CDH26	1
SNAI1	11
MOCS3	9
STX16	2
PMEPA1	18
RNF114	12
ANKRD60	0
DDX27	10
RBPJL	1
SEMG1	0
C20orf85	0
BCAS4	0
KCNK15	0
TP53TG5	4
PCK1	14
ZBP1	2
NEURL2	0
MAGEA10	1
MTRR	8
FASTKD3	0
PEPD	16
CHST8	0
IQSEC2	1
VAMP7	7
IL9R	7
XG	4
STAMBP	8
NAGK	1
MCEE	2
PAIP2B	0
SNRNP27	0
MPHOSPH10	10
IL17C	3
ATP8A1	0
USP22	2
POF1B	1
HIF3A	6
ZNF576	0
IRGC	1
ZNF45	0
LYPD3	4
PSG8	0
CEACAM8	38
NDP	16
USP9X	22
CRISP2	2
F13A1	49
GRM4	0
TRERF1	0
PACSIN1	2
BTN2A2	0
SIRT5	11
MRS2	3
WRNIP1	0
RRP36	0
BTN1A1	26
SNRPC	1
SLC17A3	0
SLC17A1	2
SERPINB6	53
XPO5	11
ABCC10	2
HIST1H1D	1
PEX6	9
NQO2	18
OARD1	0
UNC5CL	3
AARS2	0
HIST1H1A	1
ZNF391	0
RPS10	2
MOCS1	0
HIST1H2BJ	0
MED20	2
OR2B6	1
TBCC	16
SPDEF	8
TCP11	1
MAD2L1BP	7
APOBEC2	2
KLHDC3	2
GNMT	6
DNAH8	0
TREM1	34
MEA1	1
KLHL31	0
COL21A1	0
CDKN1A	182
SOX4	15
GLO1	17
CPNE5	7
KCNK17	0
RREB1	3
SSR1	22
RIOK1	0
NRN1	2
SLC35B3	0
RPP40	2
ATXN1	3
NUP153	10
DEK	3
EEF1E1	47
CRISP1	643
RUNX2	48
OPN5	2
GCM2	0
LRRFIP1	30
RAB17	18
CXCL6	5
EREG	4
TRIM51	0
MYRF	0
SCGB1D2	0
SCGB2A1	0
AHNAK	16
EMC3	1
SSUH2	0
WNT1	10
SH3TC1	0
CNOT1	1
LRRC29	1
BBS2	2
MT1G	1
MT2A	7
C16orf70	0
GOT2	47
DOK4	0
PIWIL1	1
GPR18	1
CLYBL	0
TMTC4	1
RAP2A	3
SLC10A2	0
ABCC4	26
EFNB2	9
SOX21	21
TM9SF2	0
C17orf53	0
KIF25	11
IRF1	17
UPF3B	0
RNF113A	2
SEPT6	1
TMEM255A	0
NDUFA1	9
AMELX	20
ATP5S	0
BMP4	44
PTGER2	6
FAM193A	0
GRK4	25
SOX9	24
TEKT3	0
MYH2	8
HS3ST3B1	0
SLC25A35	0
MRPS7	3
GGA3	4
ARMC7	1
NUP85	1
SLC25A19	0
MIF4GD	3
NT5C	0
MSTO1	1
C1orf61	0
TTF1	44
GTF3C4	0
DDX31	0
BARHL1	12
KIR2DL1	24
PPP1R12C	0
MBOAT7	6
SRMS	7
OPRL1	6
SLC2A4RG	17
NPBWR2	0
FNDC11	0
BHLHE23	3
PPDPF	0
IL1B	141
PLGLB2	8
IL37	1
CHCHD5	13
PAX8	48
INSIG2	1
POLR1B	43
CCDC93	8
PSD4	0
SLC25A23	9
PSPN	17
GTF2F1	9
ALKBH7	1
CLPP	20
TNFSF9	19
GRIA3	13
THOC2	0
MED1	3
RPL23	1
ATG4C	1
CD70	23
C3	285
SH2D3A	6
TRIP10	11
GPR108	2
TNFSF14	725
FOSB	23
OPA3	3
SNRPD2	6
RTN2	6
EML2	10
VASP	37
SYMPK	13
GPCPD1	1
SDCBP2	8
PANK2	13
TGM3	5
GNRH2	3
DEFB126	0
FOXA2	49
CD93	34
GZF1	0
PAX1	0
NAPB	1
CST8	0
NKX2-4	0
CENPB	1
PSMF1	3
NKX2-2	2
DTD1	8
CSTL1	0
RBCK1	7
TMX4	1
CST11	0
STK35	1
SNRPB	1
NRSN2	1
AP5S1	0
RRBP1	0
BMP2	41
ZNF133	5
FLRT3	2
OVOL2	1
PCSK2	1
GFRA4	2
MKKS	0
BFSP1	30
DSTN	13
LAMP5	0
SNRPB2	8
MGME1	1
LRRN4	0
TBC1D20	0
ITPA	3
TCF15	0
OTOR	1
MCM8	5
BANF2	0
TMEM74B	0
FAM110A	0
SIRPD	1
MRPS26	1
DEFB129	0
S1PR4	2
NCLN	2
CITED1	30
HNRNPR	0
ZNF436	0
MAX	16
CHURC1-FNTB	0
ARMCX5	0
GDF5	17
MMP24	7
NECAB3	2
ID1	175922
RALY	1
DYNLRB1	0
C20orf173	0
EIF2S2	8
ERGIC3	2
ROMO1	4
FAM83C	0
BPIFB1	1
CEP250	15
PLAGL2	1
MMP24OS	0
GRPR	0
KDM5C	3
AMOT	7
TMEM115	2
PSMB2	12
AGO3	1
UROD	4
ST3GAL3	1
TMEM53	0
HECTD3	0
KLC1	3
XRCC3	18
TUBGCP3	0
MCF2L	9
F10	27
PCID2	1
PROZ	4
SLURP1	74
LRFN3	0
IGFLR1	0
CAPNS1	14
PDCD2L	1
GPR42	0
RBM42	1
KIRREL2	10
UBA2	2
FFAR2	3
HCST	1
FFAR1	3
COX6B1	13
KRT36	3
THRA	58
CCR7	28
NR1D1	23
FRMD8	0
PRDX5	63
BCL2L12	7
IRF3	44
PRMT1	14
RRAS	23
PRRG2	5
SCAF1	12
PRR12	0
TSKS	17
FLRT1	5
ASL	20
SBDS	4
CSN1S1	0
STATH	0
HTN1	10
STAT5A	90
WNK4	2
BECN1	23
PRKCG	11
TRAP1	42
GLIS2	0
NSRP1	0
DNAJC8	1
AHDC1	1
IFI6	6
DACH2	0
ZNF384	3
EMG1	4
SSX1	8
UXT	1
CFP	56
ELK1	31
TIMM17B	1
PCNX4	0
ATG14	2
KTN1	0
SIX1	7
RHOJ	19
DLGAP5	3
L3HYPDH	0
HSPA2	24
ZBTB1	0
TRMT5	0
SGPP1	66
PLEKHG3	0
PZP	0
PRDM7	0
RHOT1	11
EVI2A	0
OMG	4
WDR60	1
AIF1L	0
FAM78A	0
NUP214	50
CTAG2	9
AVPR2	0
SLC10A3	31
MAP2K2	44
HNRNPH2	1
ARMCX1	8
TMEM35A	0
NXF5	0
TIMM8A	11
ZC4H2	0
CANX	43
INTS11	0
RGS13	2
IPPK	0
ZNF484	0
OMD	8
FGD3	2
HIVEP3	31
PPCS	1
EDN2	12
BCL11B	14
COX7C	1
TRAF2	23
ABHD8	0
MASP1	10
ATP13A4	0
HRASLS	0
HELB	0
RAP1B	6
IL22	13
TSPAN8	8
BEST3	8
RAB3IP	1
PTPRB	0
DYRK2	18
YEATS4	6
TAS2R3	0
TAS2R4	0
TAS2R5	0
CRYGN	0
LRRC61	0
TRPV5	9
IDUA	1
FGFRL1	1
TMEM175	0
AUNIP	0
PIN1	50
FBXL12	0
EMC1	0
PLA2G5	9
UBR4	9
HP1BP3	0
ADGRE2	0
SIN3B	3
OR7A10	0
SLC35E1	0
EPS15L1	10
KLF2	11
OR7C2	0
OR7C1	0
F2RL3	12
UQCR11	0
GFER	0
SYNGR3	0
PKMYT1	14
WFIKKN1	7
WDR24	1
FBXL16	0
CHTF18	14
GNG13	1
MACF1	6
SMARCA4	9
KDM4B	2
TICAM1	2
METTL25	3
IL17B	20
EMC6	0
OR1E2	0
METTL16	2
TUBA4A	47
VIL1	24
AAMP	2
PNKD	1
TNFRSF19	16
RNF6	7
ECHS1	11
ZNF835	0
AKAP9	13
GNG11	2
SEM1	0
GNGT1	1
HIP1	69
PTPN12	5
POR	37
FGL2	15
STYXL1	0
STEAP4	2
GNAI1	27
PEX1	3
MTERF1	0
SGCE	1
RBM48	1
CASD1	0
ZNF780B	0
LRFN1	0
ZFP36	15
SRD5A3	0
SPINK2	1
RASL11B	8
PAICS	10
KDR	78
PPAT	12
TUBGCP6	0
ADM2	1
DGCR6L	0
DGCR8	5
ASPHD2	0
VPREB3	7
SDF2L1	0
GAL3ST1	1
YWHAH	7
RFPL1	3
RFPL2	0
GNAZ	3
MGAT3	6
ADORA2A	9
ATF4	16
A4GALT	11
RFPL3	5
CDC42EP1	6
APOL3	10
MCHR1	10
TPST2	1
BAIAP2L2	0
MPST	1
GALR3	0
TST	3
APOL5	0
IGLL1	2
APOL2	0
RAC2	11
LIF	13
C22orf23	0
APOBEC3A	1
APOBEC3F	1
RIBC2	1
KRT17	53
EMC4	0
RNF112	1
SPECC1	0
CPA4	2
DOCK4	11
POT1	1
TAS2R16	0
ATP6V1F	4
LSM8	7
CDHR3	1
PRKRIP1	22
VGF	0
PODXL	26
FOXP2	5
STRIP2	0
IFT22	0
MKLN1	1
DNAJB9	1
FLNC	1
LRRC4	0
CALU	3
CCDC136	0
SMO	40
IRF5	40
LRRC17	0
KLHDC10	0
NDUFA5	3
FEZF1	0
OPN1SW	1
MRPS12	1
MYO1B	1
HOXD1	1
HOXD3	6
MTX2	0
PDE11A	0
CHN1	20
GAD1	31
OSGEPL1	1
ORMDL1	0
HAT1	1
HOXD9	12
HOXD10	4
HOXD11	40
HOXD13	1
HERC2	1
SNRPN	24
PSMG2	8
TWSG1	10
ARHGAP22	0
WDFY4	0
EIF2AK4	8
MYO5C	1
CGNL1	1
TMOD2	2
TTBK2	0
ELL3	0
CCDC32	0
INO80	0
ICE2	0
DLL4	10
ALDH1A2	2
MINDY2	0
IVD	128
KNSTRN	0
DUT	8
CHAC1	7
CLN6	0
ARPP19	1
VPS13C	0
CALML4	0
ISLR	0
THAP10	0
LOXL1	1
ACKR4	0
ANAPC13	0
MBD4	0
COPB1	13
PSMA1	19
SUMF2	10
PALLD	5
SPCS3	0
BBOX1	24
MYOD1	57
SERGEF	11
KCNC1	0
TPH1	7
CSRP3	13
E2F8	7
DCTD	10
SOX15	24
PIMREG	0
RPAIN	29
USP6	6
SHBG	25
PLD2	8
AIPL1	12
CD68	162
TXNDC17	1
ATP1B2	3
FXR2	27
KIF1C	1
MPDU1	0
PHF20L1	1
LRRC6	10
CCNT1	0
PUS7L	1
KRI1	0
ILF3	5
SLC44A2	12
AP1M2	1
CDKN2D	19
MTUS1	10
KLK14	2
SIGLEC9	11
KLK10	11
KLK8	69
NGDN	0
RIPK3	18
ADCY4	0
RAB2B	9
BCL2L2	6
AJUBA	2
DTD2	0
PARP2	4
HEATR5A	0
FOXA1	29
SNX6	3
EAPP	1
EGLN3	5
MIS18BP1	1
NRL	1
RNASE1	30
NEDD8	12
DAD1	8
TEP1	96
EPB41L4A	0
CDO1	1
REEP5	14
ITFG1	3
QRICH2	0
FOXJ1	14
SEC14L1	0
RHBDF2	1
AANAT	0
ARHGEF6	3
MAP7D3	0
FGF13	2
ASH2L	17
TTI2	0
ART1	11
CHRNA10	0
CDKN1C	55
SGO1	10
RPS4Y1	0
VCY1B	0
VCY	0
CDY2B	0
CDH15	25
KLF16	0
TMEM8A	1
DOHH	0
MAU2	2
SHC2	8
PLPPR3	0
INS-IGF2	1
ABHD17A	0
LBP	20
SYT5	1
TNNI3	356
CBFA2T3	1
GAMT	2
PUDP	0
ERMARD	0
PHF10	1
PRRG3	0
GALNT8	0
KCNA5	1
CRACR2A	1
NXNL2	5
STARD8	2
FAM155B	0
GDPD2	0
SAT1	16
GNL3L	0
SH3BP4	13
MOSPD2	0
DOCK6	0
ECSIT	4
LDLR	46
ELOF1	1
TSPAN16	0
ANGPTL8	1
PRKCSH	7
CNN1	29
CDC16	2
ZSCAN10	0
THEM6	0
NECTIN2	2
APOE	67
TOMM40	1
APOC1	11
GADD45G	35
LRCH2	0
DPP6	2
XPO7	0
ACE2	16
FAM98C	0
SAFB2	2
RPL36	0
ATP8B3	0
GDF1	0
NCAN	1
KIF1A	1
GTPBP3	0
PLVAP	7
BST2	4
SLC27A1	2
NSUN5	1
USHBP1	0
COLGALT1	0
DDA1	0
MRPL34	1
PGLS	2
LSM7	0
TULP4	0
SNX9	12
RTN4IP1	8
QRSL1	1
C6orf203	0
RSPH3	0
MAS1	6
ACSBG2	0
MLLT1	6
FUT5	1
BMP15	2
AFDN	0
ACTN4	19
STK33	25
NDUFA10	2
EPO	109
ARPC1B	3
CACNG6	1
ZSWIM6	0
FCHO1	0
UNC13A	0
MAP1S	1
KLHDC7B	0
SCO2	0
PXDN	17
SSBP4	0
GDF15	23
PGPEP1	0
IQCN	0
LSM4	8
JUND	5
HRC	1
TRPM4	7
OR11H1	0
SULT4A1	3
ZNF557	0
CRB3	1
OLFM1	9
CAMSAP1	0
UBAC1	1
SAG	6
ZBTB46	0
HELZ2	0
SAMD10	1
LSP1	22
TNNT3	15
TNNI2	19
COL5A1	11
ATXN10	0
TUBGCP2	4
CALY	0
CYP2E1	6
PNPLA7	0
HBZ	14
PAK4	15
MNX1	2
ZNF337	0
CEP85	1
TAF4	7
GATA5	1
RBBP8NL	0
LAMA5	19
OSBPL2	2
ADRM1	19
ASS1	8
PRDM12	4
EXOSC2	13
POMT1	1
UCK1	10
FIBCD1	0
PRRC2B	1
CHMP2A	1
UBE2M	12
TRIM28	32
METTL26	0
YIPF2	0
ATG4D	1
EIF2S3	2
TMEM160	0
ZC3H4	0
NPAS1	0
GMFG	1
MAP3K10	0
ARHGEF16	1
LRRC47	1
SESN2	14
SMPDL3B	8
ATP5IF1	0
MED18	0
THEMIS2	6
CLIP1	7
CCDC62	0
HIP1R	14
ZNF317	0
PPAN	0
EIF3G	0
ANGPTL6	8
C19orf66	0
DNMT1	34
ZNF426	0
SLC6A8	3
PNCK	0
DKC1	3
PLXNA3	33
DUSP9	9
MPP1	30
ZNF331	0
ZNF236	0
SLC7A10	2
LRP3	1
C12orf65	1
NOL11	2
UBE4B	10
CASZ1	0
PKDREJ	0
HSD17B3	0
NUTM2F	0
HABP4	1
FBP2	8
SLC35D2	5
PRRG1	2
UBA1	7
RGN	35
POLN	0
PPIL4	9
ULBP2	5
AKAP12	11
SYNE1	6
ULBP3	3
LATS1	5
EPS8L1	0
LILRB2	12
AAR2	0
TTLL9	0
BPIFA2	1
RBM39	10
COX4I2	9
BPIFA3	1
ZNF341	0
GGT7	0
DEFB118	0
ACSS2	15
EDA2R	11
ARHGEF9	0
C1QL1	5
GFAP	298
PYY	19
HIGD1B	0
ATP6V1E1	2
ZNF227	0
ZNF428	0
TEX101	0
ZNF141	0
CCL25	8
COX4I1	15
EMC8	0
GSE1	0
AC010531.1	0
GINS2	0
CHMP1A	3
SH3BGRL	7
COX7B	1
SLC34A1	2
F12	58
PRR7	2
NFATC1	17
IDO1	60
GJA9	0
CAP1	55
PPT1	5
RAB11FIP4	1
RLIM	9
CDX4	48
ABCB7	0
TRAF3	26
HAUS8	1
ADGRE3	0
MRPS25	7
SH3BP5	126
HACL1	0
TBC1D5	0
CAPN7	7
RFTN1	0
C3orf20	0
RBSN	0
GALNT15	0
SLC6A6	2
KCNC3	9
NAPSA	24
NR1H2	20
LRRC4B	0
PDLIM4	2
KIF3A	3
MGAT1	2
GFPT2	0
TUBG1	21
PSME3	3
RPL27	1
PSMC3IP	1
AOC3	13
ACLY	19
VPS25	3
RAMP2	2
AOC2	1
G6PC	3
NDUFA2	9
ANKHD1	2
DIAPH1	10
NDFIP1	0
UBE2D2	19
EXOC4	13
ACAP3	0
C1orf159	0
ANO1	15
PPFIA1	0
TMEM204	0
KREMEN2	1
THOC6	8
TRAF7	0
BARX1	15
NINJ1	1
CA6	6
NPHP4	1
MAP1B	32
RHOXF2	3
IL13RA1	20
WDR44	0
CKMT2	1
ZCCHC9	1
KRT34	3
KRT33B	9
TNS4	10
TOP2A	50
STARD3	6
RARA	39
PPP1R1B	17
KHDRBS3	0
CHD1L	7
PEX11B	3
FMO5	1
PIAS3	13
PRKAB2	9
FSHB	54
PDHA1	11
RAI2	155
MCCC2	1
ZNF304	0
ZSCAN5A	0
ZNF132	0
USP29	6
SELENOS	0
CHSY1	0
SNRPA1	0
LLGL1	22
NR0B2	17
LIN28A	15
THAP1	7
RHPN2	1
C19orf12	0
FAAP24	0
LRRC9	0
ACTR10	0
ABHD12B	0
GCH1	21
LGALS3	87
PODNL1	0
DNAJB1	29
ZSWIM4	0
FBXW9	0
RFX1	4
ZNF20	1
C19orf57	0
DCAF15	0
CC2D1A	0
RTBDN	1
MATN3	2
TRIM21	15
SPATA6	0
LRRC41	0
CCT6B	9
DHX30	0
RAF1	97
SLC6A11	1
PPARG	14
NUP210	0
FCRLA	2
HSD17B7	1
ENOSF1	0
EMILIN2	5
SLX1A	0
ARFIP2	11
TRIM5	17
CNGA4	0
TRIM22	5
RRP8	2
TIMM10B	1
EFR3A	0
HHLA1	0
PTCD3	1
IMMT	4
MRPL35	0
IQCA1	1
ILKAP	2
PER2	10
RAMP1	8
SCLY	3
PTPRE	21
RAN	17
PRKAA1	32
CARD6	6
RAP1GAP2	0
CLUH	0
INPP5K	5
MYBBP1A	3
RPA1	29
SERPINF1	28
UBE2G1	10
EEFSEC	1
TBC1D14	0
TMEM128	1
COQ3	7
PNISR	0
POPDC3	0
SEC61G	0
LANCL2	4
FIGNL1	0
DDC	8
FTHL17	0
GRSF1	0
ENAM	1
JCHAIN	0
ANKRD17	9
UTP3	4
ITGB4	57
WBP2	2
H3F3B	16
UNK	0
TRIM47	1
ZRANB2	13
EIF5A	16
KDM6B	1
CLEC10A	4
SLC52A1	1
GUCY2D	29
GPS2	18
XAF1	2
DLG4	22
RIDA	0
VPS13B	2
RGS22	1
MATN2	4
REEP2	2
PCBD2	1
SDF2	9
FLOT2	25
ERAL1	0
PRMT7	4
NIP7	3
TERF2	31
VPS4A	3
MTSS1L	0
HSPA12B	0
ANKEF1	0
SCP2D1	0
PCED1A	1
SNAP25	110
BTBD3	0
PCNA	845
NXT1	10
POLR3F	3
RIN2	11
PTPRA	78
SSTR4	1
DAP3	20
RHBG	0
KHDC4	0
ATP1A4	0
NES	63
BCAN	0
CRP	218
ARHGEF11	10
RAB25	16
HAPLN2	0
APCS	44
FCRL2	1
DCAF8	1
SYT11	8
IGHMBP2	4
ACY3	8
ALDH3B2	6
TESMIN	5
MMACHC	11
DPH2	17
TOE1	30
NASP	1
MUTYH	9
CTNNBL1	16
LPIN3	8
ZSWIM3	0
RBM38	1
VSTM2L	3
OSER1	0
SERINC3	6
PPP1R3D	0
DMGDH	0
BHMT2	2
AP3B1	4
ZBED3	1
PATJ	0
KANK4	1
ANGPTL3	27
SYT4	17
SLC14A2	12
FBXO44	2
RSG1	1
CASP9	70
NMUR2	1
DCTN4	5
PDE6A	0
ATP8A2	0
MTUS2	1
ZMYM5	0
USPL1	2
XPO4	0
TPTE2	1
POMP	2
CDK8	22
ALOX5AP	7
WASF3	1
RNF17	7
GPR12	0
CHRM3	0
MYH8	0
MYH10	2
PEMT	25
SCO1	0
MPRIP	5
CHI3L1	12
MYBPH	10
PIK3C2B	14
DSTYK	14
CHIT1	7
SLC41A1	0
LGR6	4
TMCC2	0
DCLK1	18
CCNA1	3
COG6	15
SPART	0
RXFP2	0
EPSTI1	10
TRPC4	2
POSTN	12
RFXAP	8
TPT1	158
GPALPP1	0
STOML3	0
KL	3
RFC3	10
STARD13	2
IRS4	13
MORC4	0
BEX2	7
RNF128	0
TBC1D8B	0
TCEAL4	0
BEX1	4
FAM104A	0
SLC39A11	0
EPHB2	37
SRRM1	0
BTBD2	0
PRAM1	4
KMT5C	0
ZNF414	0
PDE6B	39
HSPBP1	10
CSNK1G2	21
SLF1	0
CNDP2	29
MACROD1	1
WDR74	4
LGALS12	17
RTN3	2
RARRES3	4
HRASLS2	0
MYH11	14
FOPNL	0
MED10	1
PDZD2	0
MORC2	0
LARGE1	35
GSTT2B	0
MYO18B	0
SLC2A11	0
C1QTNF6	0
GGT2	0
FAM83F	0
SEC14L4	1
GIMAP6	0
GIMAP4	6
ADCK2	0
MKRN1	9
AGAP3	0
KRBA1	0
ACTR3B	2
NTS	5
BTG1	8
LRRIQ1	1
C12orf29	0
ATP13A3	0
SFTPD	59
DYDC2	0
TMEM254	0
TMTC1	0
KRAS	36
IPO8	0
LARS	4
SPINK5	5
IMPA1	7
LRRCC1	0
E2F5	5
CA1	25
CCDC59	0
SWAP70	12
ARNTL	13
LYVE1	27
AMPD3	0
SBF2	0
MICAL2	0
RRAS2	13
HSD17B4	26
ZFC3H1	0
TEX15	0
SARAF	0
RNF122	7
DUSP26	0
DPF2	12
MEN1	9
ERG28	0
GSC	43
DGLUCY	0
UNC79	0
NUMB	43
CATSPERB	0
VRTN	1
COX16	0
TTC9	0
MED6	6
EIF2S1	52
ADAM20	2
LOXL2	20
ELP3	1
PEBP4	0
ADAMDEC1	11
CTIF	1
MRO	4
MBD2	7
IER3IP1	1
MRPS36	0
CCNB1	52
CDK7	74
CD180	37
IRAK2	30
CAMK1	20
THUMPD3	0
VHL	48
BHLHE40	9
ARL8B	1
EDEM1	1
CNTN6	0
CHL1	2
MEIS2	22
DPH6	1
KATNBL1	0
EMC7	0
TRPM1	0
GNAT2	0
GSTM1	9
PRPF38B	0
REG4	3
TSPAN2	3
TSHB	66
GSTM5	10
GSTM3	11
SYT6	1
VAV3	8
CHIA	0
PSRC1	1
HMGCS2	1
PTPN22	7
SORT1	14
WNT2B	2
PTGFRN	0
LAMTOR5	0
ADAM30	3
NOTCH2	5
TRIM45	5
CEPT1	0
CD101	38
VTCN1	6
NGF	83
AP4B1	11
NAPG	4
SPIRE1	7
PPHLN1	1
FKBP11	0
ARF3	3
TMEM106C	0
SLC38A2	6
YWHAQ	11
KIDINS220	1
GRHL1	0
ROCK2	16
RSAD2	5
MYCN	24
LPIN1	8
CMPK2	1
IAH1	0
LDHA	27
SAA2	62
ANO3	0
IL6ST	73
FST	574
CFHR4	0
NAV1	0
CDC73	4
TIMM17A	1
CRB1	0
CFHR5	2
ERN2	3
RPS15A	1
RAX	32
NARS	28
GRP	8
KIAA1468	1
FBXO18	4
RBM17	0
IL2RA	197
ANKRD16	1
ECHDC3	0
IL15RA	11
CCNH	40
HRH4	3
TMEM241	0
KCTD1	0
CABLES1	0
DOCK2	9
EMP1	3
SOX5	9
RERG	2
SLCO1B1	10
KLRD1	68
KLRC1	14
SPX	0
PRH2	378
LRP4	0
MYBPC3	5
DDB2	10
ACP2	18
USP26	4
RTL8C	0
RAB33A	8
SOX3	11
RBMX2	1
STK26	195
PIWIL4	0
MTNR1B	0
PUM1	1
SPOCD1	0
YARS	20
PHC2	0
CDCA8	6
GNL2	1
AGO4	2
HOOK1	8
CYP2J2	18
BTF3L4	0
ZCCHC11	0
PRPF38A	0
DSC2	15
DSG3	19
RNF138	17
ELP2	20
DSG1	18
DSC3	13
DSC1	3
DTNA	11
FHOD3	0
TPGS2	1
DAGLA	0
SLC43A3	0
TIMM10	0
GIF	7
DHX34	0
APLNR	5
FADS2	1
TMEM258	0
TCN1	2
C5AR2	0
TMEM165	0
CLOCK	18
PDGFRA	35
GGACT	0
COL4A2	1
CLDN10	1
DZIP1	1
UBAC2	0
ARGLU1	0
BIVM	0
ERCC5	22
TPP2	1
KDELC1	0
CARS2	0
ARHGAP32	0
STT3A	65
ADAMTS8	11
ACRV1	5
ETS1	40
SLC37A2	0
KLB	0
TMED7	0
APC	53
NREP	0
WDR36	5
OSTF1	1
RFK	0
UBQLN1	7
NAA35	0
C9orf40	0
ANXA1	65
CTSL	23
TMEM2	0
AGTPBP1	10
GOLM1	23
FAM189A2	0
PSAT1	190
ISCA1	7
ADAM19	0
HAVCR2	4
CCNJL	1
TAOK3	219
USP30	1
SDS	38
MSI1	44
HNF1A	87
FBXO21	15
TBX3	28
OASL	0
HRK	1
RNFT2	0
P2RX4	1
BICDL1	0
DTX1	3
TRAFD1	4
DMTF1	16
OCM2	0
TMEM243	0
CCDC146	0
TMEM60	0
CD36	190
UGT2A3	0
CSN2	7
UGT2B28	0
PNPLA8	0
HILPDA	0
FAM71F1	1
RINT1	1
SRPK2	2
KCP	0
TES	32
MDFIC	6
MTO1	0
ADGRB3	0
ANKRD6	4
HTR1B	5
KHDC1	0
CEP162	0
SYNCRIP	14
SNX14	0
NT5E	37
MRAP2	1
EPHA7	13
AKIRIN2	4
ORC3	16
LCA5	0
MAP3K7	15
CGA	65
GJA10	0
PRR5L	0
LMO2	58
PHF21A	7
NAT10	1
EHF	5
ELF5	6
PRRG4	1
CAPRIN1	1
ATP5MC2	0
DNAJC14	0
CD63	121
PRPH	48
AVIL	0
AMHR2	16
LACRT	0
GDF11	28
GLS2	191
ITGA7	11
TESPA1	1
FAM186B	0
RDH5	0
AGAP2	0
BLOC1S1	1
KRT85	0
CDK4	196
PPP1R1A	29
TROAP	0
TSPAN31	5
B4GALNT1	9
TFCP2	8
COQ10A	0
FAIM2	1
PAN2	7
ESPL1	25
KRT7	85
ZC3H10	0
HNRNPA1	33
SLC26A10	0
ACVR1B	24
OS9	0
MIP	14
KCNH3	0
LTV1	1
MAP7	0
CD164	14
AFG1L	0
NHSL1	0
AHI1	0
HEY2	1
PKIB	0
TAAR5	7
NMBR	0
SMPD2	12
MICAL1	13
REPS1	2
STX11	0
TEC	12
PRADC1	1
SEMA4F	0
CCT7	15
EGR4	0
RAB11FIP5	2
SMYD5	0
DYSF	21
CCDC142	0
EMX1	0
KCNMB4	9
USP15	10
GNS	4
CPM	7
MDM2	100
KLHL36	0
BCO1	0
MPHOSPH6	14
CHST5	1
KIAA0513	1
DYNC1LI2	1
FBXL8	5
FHOD1	0
CCDC102A	0
SLC9A5	0
AGT	33
PCNX2	0
KCNK1	0
URB2	0
EGLN1	2
CAPN9	17
COG2	8
ABCB10	0
NTPCR	4
TAF5L	11
GLUL	62
STX6	8
RGS8	1
RNASEL	20
DHX9	19
KIAA1614	0
CEP350	1
NPL	0
FAM129A	0
PIGC	5
LAMC1	53
RC3H1	0
GPR55	0
SP110	20
MRPL44	1
CHRND	5
PAX3	18
DOCK10	0
TTLL4	0
USP37	0
HTR2B	6
ITM2C	1
SLC19A3	1
SERPINE2	14
DNAJB2	17
WNT10A	1
TMBIM1	0
CYP27A1	1
EIF4E2	21
ARMC9	0
CAB39	8
COX5B	11
REV1	8
TSGA10	5
MFSD9	0
TMEM127	0
EDAR	13
TGFBRAP1	40
GCC2	0
MRPS9	0
GPR45	0
C2orf49	0
ANKRD36	1
EPC2	0
ARHGEF4	3
ISCU	11
ALDH1L2	1
STAB2	4
USP44	11
SCYL2	0
CKAP4	95
PLXNC1	6
APPL2	1
PWP1	14
DRAM1	4
WASHC4	0
SLC41A2	0
VILL	2
FLNB	12
NEK3	9
PCDH8	10
VPS36	0
RNASEH2B	0
CKAP2	3
CNMD	0
TBC1D4	3
THSD1	2
BORA	0
LRCH1	0
SUCLA2	0
RCBTB1	2
MED4	1
PHF11	4
COG3	4
LMO7	6
SCEL	1
ITM2B	3
SPRY2	8
NUDT15	0
EDNRB	5
RCBTB2	3
LCP1	18
SETDB2	12
SCRN1	2
C7orf25	0
